,review,Bike
730,Product is good but service is very poor dealer only cheating customer .In showroom no any contact no display in show room due to this reason no one can complain against dealer. Also dealer takes more money .I bought scooty in bhubaneswar jyot motors patiya they are not listening to my issue.It very bad impression showing in market against suzuki product.I highly dissatisfied with this company.,Access
731,"First and best bike ever. It's really good in terms of mileage smooth driving excellent design, colour, it's sound and even service facility is very nice and overall it's really good compare to other bikes. I am completely & strongly recommending to buy this bike. Colour of the bike is good it's running with more than 150 kilos of weight. Really i like it...",Access
732,"I had wonderful experience with suzuki dealer who had given very good service during the time of booking and delivery. Enjoy to ride. Very nice and catchy look and good performance.  Well maintained by me with the dealers support. I am not in a mind to sell this bike anymore, it's good product by suzuki.",Access
733,"Pros:looks, pickup, space, comfortunder seat storage is very generousdidn't test mileage, but indication of good mileage is already therecons:compulsory oil change during free service making the term ""free service"" no meaning. I drove only 125km during first service. but had to change oil for 450rs.",Access
734,"A fantastically amazing beast for daily automatic two wheeler drivers..... The comfort level has increased from before and the boot size and the seat size also have increased.... Lightweight and the dashing look attract people... It has a sharp design and ground clearance has also increased..... With a superb mileage and a bigger fuel tank, it also has the digital speedometer and fuel indicator.... It gives superb balance to short height people and is easy to ride... The best part is it has disc brake and increased and better pickup with new switch system and also provides a mobile charging point... A low cost maintenance and fast service of suzuki makes it a perfect vehicle for middle class person as it has a very reasonable price...",Access
735,"When it comes to the scooter market in India, almost all scooters have calmly settled at the 110cc, 8bhp mark. It's as if they thought Indians really din't need a more powerful scooter. A few years ago, if you needed something more powerful than the activa, your only option was a suzuki access this is very nice riding bike.",Access
736,"Yes the bike is good in looks and powerful but lacks safety. Its a good bike but braking and suspension of the bike should be improved, but the speed and pick is best! if you forget to service your bike am sure suzuki will remind you. And compared to all the moped this one has everything in it's console. It has 2 trip meters. Digital odo and fuel gauge. The spare parts and the body parts are cheap of access 125. You won't spend more than 1k per service for sure until you've met with an accident!! well you can go for the bike if your a city user and that city shouldn't have much of pot holes for sure. One thing best in bike is it doesn't have any vibrations!! that's all!!",Access
737,"Best in class, raiding is very good, suzuki access  125 average 62 km per litre, very good scooter make by suzuki,suzuki access 125 is very comfortable. Thanks suzuki is make access 125 .I am very happy to purchase is suzuki access 125.Suzuki access 125 customer service is very nice. I am very happy to purchase is suzuki access 125.",Access
738,I am really happy with performance of this access 125. I have bought this bike last year and it been a nice ride since then. Best part of this bike is seat position which  i think developed after lot of research. As i drive 50+km everyday then i also i never feel the pinch.Service cost is almost nil and average of bike is reasonable 42+ to be precise.,Access
739,"It's a perfect scooter for everyday use. Stylish, well built, practical and economical. It's an all rounder. Riding height is very good for tall riders. Service network of suzuki is also good. It's hard to find flaws in this scooter. Pickup is swift and steady ride. Breaking is reliable and efficient. It's an eye catcher on the roads. Amazing!",Access
740,"1. Sales is good from the showroom executives.2. You will get a amazed riding experience with comfort 3. Some more height for seat is required , performance is awesome 4.. Servicing from the suzuki service center doesn't met the requirements all the time .I did not find much differences after every service got done by them .. Service is not good .. But for warranty purpose we need to get it done by authorised service centres only.5. Need to have regular services done .. Otherwise engine sound will changes .",Access
741,Engine very refine and good sound no problem in mountains roads space large site size long very comfortable colour many metal and fiber combination is perfect so i recommend this.This scooter is family scooter go to long road and travelling mobile charger split available weight is lighter other scooter.,Access
742,"I have been using suzuki access 125 for more than 1 year now.It is a very good bike. Riding experience is very good. Breaking and storage capacity are also better. It is a nice looking scooter with excellent performance. Service was not very good but okay.Pros*good riding performance*good storage and breaking*high power. Cons*position of head lamp is not good,hard to ride in nights.*more time is needed for self starting*i am getting mileage about 40 kmpl only.",Access
743,It is a good looking bike . My one matt black colour . It's very comfortable with it long seat and with a larger legroom than the old one and it is light weight . It also have a charger point for the mobile .The seats brown colour match with the body colour .It has mag wheels with the disk breakers at the front and the head lights shape is little square shape. I'm satisfied with this bike and really it drinks less.,Access
744,"A read about the footrest:.1.The footrest for the pillion is the one which is boring and uncomfortable. The 2010 model suzuki access-125 type of footrest is the best i have seen in any scooter or two-wheeler. So, if the company can restore/fix that footrest on all the new model scooters of the company, it will be a great value addition. If that is done it would be an unbeatable scooter with all the user friendly features.2.Similarly, a centre-stand as easy as that of a jupiter would be a great value addition too. 3.And again, a helmet clamp with lock away facility would be great too.4.The rear view mirrors of jupiter and lets are quite fantastic too. So improve it to match them.",Access
745,This is awesome bike very comfortable and way to easy to ride...It's been almost 4 years for the bike but it still feels like riding new bike ....It's been very beautiful experience and many of my friends are recommended to go for same bike .....I love my bike immense pleasure to ride with such comfort.,Access
746,"using old access since 2010.All the drawbacks from that are rectified like front suspension,fading of colour,tyre size,seat length, fuel efficiency,front disk brakes are more secure and responsive.,i and odometer in 2018 model. Digital and analogue combi is best. Getting 54+mileage in both city+long drive combination...Will improve after servicing as initial engine idling is more...Hope will be best...Go for it.",Access
747,"Very good , superb ,best bike for daily commute .Light weight , stable on road.Good space for keeping things, good pick up, handy whenever required. Best vehicle for people leaving in metro cities ,where there is heavy traffic.Mileage -3/5 Looks- 4/5 Specification- 4/5 Usage-5/5 Conclusion-Best for every use , also be used for long rides.",Access
748,"Amazing experience while buying scooty in 125cc .....I was totally confused in buying ...Between activa 125cc and suzuki access 125cc ..But finally suzuki access 125 satisfied me totally..As it gave me value for money in 125cc segment.It is best in looks , brakes (with alloy and cbs with disc), mileage,performance,etc...I mean to say in every prospective ...Awesome ...",Access
749,"The service was great, riding is in comfort, royal blue colour is awesome, servicing and maintenance by showroom is supportive, extended 5 years warranty, 2 years insurance, pickup is awesome, average is good, you can feel suspension is great one, fabulous look, one can go on long drive as it is full of comfort.",Access
750,"Suzuki access 125 is the bike to rely upon for your daily city commute & more.I can vouch for her reliability, refinement, comfort and no nonsense attitude.It is a very solid machine which will not rattle for years.For sure.Want to buy a machine which will talk back & reassure you for doing that extra work,go for the suzuki.",Access
751,It is a good looking bike . My one matt black colour . It's very comfortable with it long seat and with a larger legroom than the old one and it is light weight . It also have a charger point for the mobile .The seats brown colour match with the body colour .It has mag wheels with the disk breakers at the front and the head lights shape is little square shape. I'm satisfied with this bike and really it drinks less.,Access
752,"Very good company suzuki. Delivering a good bikes for various budget level of customer across the world.Especially suzuki access 125 is one of the best and outstanding one in scotor to own for a women.Good one, value for money. Good as sporty as well as comfort.Keep it up the good quality and service. Thanks.",Access
753,I have purchased this scooter on june 2018. It is best scooter considering it's competitors in segment either its look or its pickup. I am 6 feet and sitting position of this scooter is very comfortable for me. I am very satisfied with this purchase.I have also rode activa but its seat is very low and activa also look very feminine and looks like it is being made for girls only.,Access
0, Dependable And Effective Option ,Access
1,Don't Waste Your Money To This Garbage Bike,Access
2,Easy To Ride,Access
3,Great Vehicle,Access
4,Access 125 Is Intended To Give A Smooth Ride,Access
5,Comfortable Vehicle,Access
6,Access 125 Simple Yet Stylish Scooter,Access
7,Good Scooter ,Access
8,Practical and Feature-Rich Scooter,Access
9,Comfortable Vehicle,Access
10,Practical and Fuel-efficient Scooter,Access
11,Effortless City Commuting With Style,Access
12,Fuel Efficiency ,Access
13,Good Comfort,Access
14,Good Commuter,Access
15,Best Value For Money,Access
16,Good Performance ,Access
17,Good Mileage,Access
18,Good Commuter,Access
19,Access 125 mileage low,Access
20,The Suzuki Access 125 Ride,Access
21,Comfortable For City Rides,Access
22,Comfortable To Ride,Access
23,This is my first bike,Access
24,New Access 125 *Best in,Access
25,Great Ride And Performance,Access
26,Good to ride,Access
27,Superb Power And Performance Bike ,Access
28,Good Mileage Scooter Access 125,Access
29,Best In The Segment,Access
30,Best Scooter,Access
31,Truly An Amazing Scooter,Access
32,Good Vehicle,Access
33,Good Performance Bike,Access
34,Excellent Comfort And Performance,Access
35,Suzuki Access 125 Is Amazing Scooter For City Riding,Access
36,Overall Good Scooter,Access
37,Excellent Mileage,Access
38,Suzuki Access 125 Is Good Looking Scooter,Access
39,Overall Good Scooter,Access
40,Awesome Scooter,Access
41,Good Scooter,Access
42,Mileage Is Good,Access
43,Great Scooter,Access
44,I Love This Scooter Soo Much,Access
45,Best Scooter,Access
46,Amazing Bike,Access
47,Good Scooter With Good Mileage,Access
48,Best Scooter,Access
49,Great Scooter,Access
50,Happy customer ,Access
51,Comfortable Scooter ,Access
52,Overall Good ,Access
53,Worst Battery and Self Start Issue,Access
54,Good One ,Access
55,VeryComfortable Scooter,Access
56,Problems with Suzuki Access 125 BS6  ,Access
57,Problems with Suzuki Access 125 BS6,Access
58,Good performance scooty,Access
59,Good bike.,Access
60,Great Vehicle,Access
61,Wastage of Money ,Access
62,Please Don't Buy ,Access
63,Worst disc brakes.,Access
64,Excellent Pickup,Access
65,Rider's Choice,Access
66,review for access,Access
67,Amazing Scooter Along With Great Features.,Access
68,Awesome Scooter.,Access
69,Low Mileage.,Access
70,Performance based scooter.,Access
71,Worth Buying.,Access
72,Low Maintenance Scooter.,Access
73,Best scooter in this price segment.,Access
74,Strong Durable Body.,Access
75,Offer Good Features.,Access
76,Good mileage and comfort.,Access
77,Extreme Power,Access
78,Best out of rest.,Access
79,Best Suzuki Scooter.,Access
80,Gives Good Mileage.,Access
81,With Good Safety Features.,Access
82,Happy to buy this Scooter,Access
83,Buying recommendation.,Access
84,Super Scooter.,Access
85,Best Scooter Ever.,Access
86,Great Comfort,Access
87,Best Scooter.,Access
88,Simple Looking Scooter.,Access
89,"Nice, very good.",Access
90,Superb bike,Access
91,I Am Happy With This Scooter,Access
92,Best in maintenance cost. ,Access
93,Amazing Scooter,Access
94,Very Good Experience,Access
95,Awesome Bike,Access
96,Overall good package ,Access
97,Access125 Performance ,Access
98,Good Some Change The Side Stand Indication,Access
99,Nice Scooter ,Access
100,Average Scooter - Access 125,Access
101,Best Scooter Ever,Access
102,Recommendable Scooter - Access 125,Access
103,Royal looking and worth for money,Access
104,Amazing Performance of Access 125,Access
105,Access 125 - Value for Money,Access
106,Power with Mileage - Access 125,Access
107,Perfect Daily Commuter - Access 125,Access
108,Perfect 2 Wheeler - Access 125,Access
109,Really Fantastic ,Access
110,Perfect Scooty,Access
111,Good Scooter - Access 125,Access
112,Best in performance - Access 125,Access
113,Best scooter,Access
114,Suzuki Access 125 - ,Access
115,Great Scooter In This Price,Access
116,Best for Mileage and Premium Experience,Access
117,Nice bike,Access
118,Very satisfied ,Access
119,Great scooter,Access
0,  I plan to buy a 125cc scooter and keep it for about 7-8 years. Between the Suzuki Access and Mahindra Rodeo which is a better choice.,Access
1,"""SUZUKI ACCESS 125"" is fantastic bike. It is very comfortable to use.",Access
2,# Engine oil replacement is suggested at an interval of 7500km but service centres replace it every 2000km.,Access
3,# Front appron rattling at speed of around 20-25kmph (while stopping) is gone after switching to Power1. Another sign of smoother engine.,Access
4,"# Hella horn always make sure that I am always heard, even on the highways.",Access
5,# I feel 10W40 grade engine oil should suit best for Indian climatic conditions. Really wonder why Service centres use 5W30.,Access
6,# I got rear flat tyre once. So I sourced a tuff up tube from friendly Honda people- end of worries:),Access
7,"# I have shifted onto Castrol Power1 (10W-40) Engine oil. Consequently, engine has become smoother and (mild) tappet noise has reduced.",Access
8,# Mild whistling noise from transmission was cured in last service.,Access
9,# My rear MRF Zapper has aged and needs replacement. 15000+ km life for a scooter tyre is worth mentioning.,Access
10,# Outstanding Milage for a scooter- 50.91 kmpl ( I maintain a log book for fueling. 111.6 liters consumed in last 5682 kms.),Access
11,# Performance and acceleration is almost as zippy as it was 15 months before.,Access
12,# Rear shock absorber is bit hard for solo riding. Thinking of replacing it with some other manufacturer's (considering Nova135. Its adjustable).,Access
13,# Superb cornering ability and straight line stability. Stability while braking is even more confidence inducing.,Access
14,# Suzuki recommends engine oil replacement after 4000km but service centres replace it every 2000km.,Access
15,"# Though I had made alterations with headlight setup ( a flasher connected to battery through a switch and relay), and changed stock horn with Hella 60 Watts horn, my battery is still in top class state.",Access
16,"#1. Mileage: This scooter claims 65 KM/L but honestly it is not even 35, yes 35 KM/L. I know only about city.",Access
17,#2. Comfort: It's was comfortable initially but the rear suspension had some issue and though it was around 10 months only but I had to be changed and I had to pay for it because it was not covered in 1 year warranty and is subject to usage/handling. It's shocker has issue and you'll have to invest on it regularly.,Access
18,#3. Reliability: It's not reliable because of less mileage and comfort but also because the battery or may be auto start many time fails and if you have a bad knee then you have to use the kick. This makes it irreliable.,Access
19,#4. Road Grip: This's something that's not dependent on scooter I think and I dependent on tire. My brand new scooter had Apollo tires and that's not the best tires in market and are cheapest and I had few near miss accident also on damped roads.,Access
20,#5. Appeal: It has a good appeal not doubt about it. It looks as a competitor to many in this segment but it fails to deliver.,Access
21,"& coming to the service point well suzuki has got good services & they r giving free services uptill 12 services ie a year and a galf. Well that also includes paid services but then no 1 gives more than 4 free services.So suzuki also scores here & coming to the point of maintenance & new engine trubles, well my nike has not given me a single 1 & touchwood I hope it keeps it up.",Access
22,( 1) bhut jyada patrol chusti hai.company 55 ki avrage batati hai.par iski avrege 30-35 ki hai.,Access
23,( 2) barish ke mosam main bhut slip hoti hai.jisse girne khatra hota h.,Access
24,"( 2016 Suzuki Access 125 - Understated looks, not a head-turner)",Access
25,( Even the Number Plate is Charged)...thts the funniest part according to me.,Access
26,( I might edit review based on further usage and observation),Access
27,"(2016 Suzuki Access 125 - Universally appealing design, great performance)",Access
28,"(2016 Suzuki Access 125 - impressive performer, understated but handsome looks)",Access
29,(30+90 for handle).I am keeping that in my front storage all the time :-),Access
30,(AS I Live in hilly areas of uttrakhand so I thing it is giving me good mileage of about 40-50 KM),Access
31,"(Mohammad)confirmed that stock is readily available and can deliver the bike on next day itself(but without doing RTO), since I will not able to visit the show room multiple times for rto and extra fittings, I asked the sales person to complete all the work and deliver the bike and the sales guy confirmed that he will call and delivery the bike on or before 08 June. Since I did not receive any calls I called up Mohammad to take deliver, he said RTO is not yet done and he will give invoice, user manual and tool kit. So I went to the showroom to take the delivery but they did not give me the tool kit, user manual and extended warranty and RTO work not done, just delivered the bike. He said it will be done by this evening(8th june), no call received from that sales person, so 09 June I called up again and explained my urgency and asked for registration number as we cant use the bike on road without registration number. He(Mohammad) suddenly became very rude and started using bad words, while booking he was very polite and behaving like very good mannered. They showed their real attitude when I questioned them their promise which they did not like and said you can complain to anybody(he said you can even go and talk to the owner of show room, any way I will surely explain this incident to the management if I get chance).",Access
32,(Though the Jupiter is a very good scooter in terms of VFM & features),Access
33,(it can carry 2 men of about weight of 70-75 each without any problem),Access
34,*A ray of beam shoots  straight upwards right in front of you which is quit disturbing while driving.,Access
35,"*I am getting Access 125 CC tommorrow(20th Dec 2007). The Look is excellent and driving is a pleasure. I went for a speedy test drive. You have more space for keeping lot of things including your helmet down under the seat. You have a excellent suspension.You have a centralised locking system. The fuel tank capacity is also more and you fill it once and forget the fuelling often. The engine sounds great. it is XTP. I hope it will keep the mileage good. None of the suzuki product is failed in mileage so far. I waited for almost two months for this vehicle to launch in Chennai. this is the best scooter I have seen so far. I am driving scooter since 1997. I have used kinetic honda, scooty, honda activa. to my knowledge so far this is the best. Thanks to Suzuki for a wonderful job. Srinivasan V",Access
36,*I have booked access on 23 jan 2008 yet I have not got the bike.......,Access
37,", servicing of this scooter is irregular since 2011 but performance is good till 2015,",Access
38,"-  Engine oil is leaking always , It reoccurs after every repair",Access
39,"-  Sudden Breaking is not very comfortable, One has a feeling that the bike may stop or may",Access
40,-Centralized ignition key switch with shutter makes the lock tamper proof.,Access
41,-It has Telescopic Suspension which makes the drive very comfortable even in a road with pot holes.,Access
42,-Mileage- suzuki access 125 mileage is 45kmp which is very less. It is very hard to fill the fuel,Access
43,-Road Grip- Road grip of suzuki access 125 is less. While driving brakes are pressed person sitting behind seat fall on the driver. Suzuki access 125 slips more while front brakes are used.,Access
44,"-The engine of course is 125 cc higher than activa which also increases its weight but surprisingly it feels very light while driving and pick up is also gud. The engine is Suzuki's Xtra Torque Performance technology for better low end punch, resulting in good initial pick up. Vibrations and noise levels are also low. So even if you compare it with the other 125 cc ie. Kinetic Flyte, Access is much better.",Access
45,"-Wouldn’t b so sure about the fuel efficiency coz don’t own one yet but from what they told me at the show room was around 60 kmph, which of course I don believe.",Access
46,-comfort- During the driving of suzuki access 125 comfort is less when we drive any bick its seat is flat so there should be little improvement in seat making comfort.,Access
47,-handling and control= it so smooth in handling control and it has god facility to btake turns,Access
48,-reliblity= I reality yo can you can use it for travelling from collage and office it usually use for this puposes or some other,Access
49,.this bike have amazing comfort and control power brakes are amazing and very smooth,Access
50,"/ Features, Accessories, Handling, Performance, Mileage and Service. Also added a few tips at the end.",Access
51,"1)  activa- has a bit heavier body(probably due to its metallic body) but on the same side it is lower thanaccess which has a higher ground clearance, but if you compare the comfort level activa has the edge here, access nowhere lies near activa in terms of comfortable ride activa gives you.",Access
52,"1) Excellent pickup = v.good for traffic roads, you can go with out any hustle.",Access
53,1) Milage - 50 - 55 KMPL(I drive 50 KMS per day with an average speed of 35 - 45 KMPH in the Chennai city). The route that I take is perhaps not all that crowded. I still have to hit the city traffic.,Access
54,"1) Poor service at authorised service centres, they are like parasites, thriving repeat visits without clearing existing faults and continuously the vehicle develops new ones.",Access
55,"1) Somewhat weight, ladies may feel tough to put center stand & also to lift the vehicle when needed (Lifting in rear)",Access
56,1) TVS Jupiter 2) Honda Activa 125 3) Honda Activa 110 4) Suzuki Access 125.,Access
57,1) the exhausst silencer could be litlle inclined to match the body incline style,Access
58,1) the exhausst silencer might be litlle inclined to match the body incline vogue,Access
59,"1, I swear I will never go to unauthorized workshop even though authorized workshop is incapable.",Access
60,"1, This is decent scooter for family. When you see the Seat length, it is bigger than any other Scooter. that is great advantage for the 4 or 3 people family. The storage is also good enough to carry baby cloth, bottle with necessary things. in addition you will get charging port.",Access
61,1- Costlier than any other middle class scooty with cheap fiber body all around.,Access
62,"1- This scooter look stylish, the seat of scooter is bigger than any other scooter in short it is family scooter. It may carry atleast 3 person in his seat.",Access
63,1- it has 2 handling plugs one on front and 2nd on the down side of the seat.,Access
64,"1. Shoulder Pain / Handle is too stiff: Place the scooter on the main stand. Now lift her up a little bit and place a brick under the main stand. This way, the front wheel won't touch the ground. Now, push the handle gently.",Access
65,"1.) Build quality and design - first, comparing the 2017 access with its own older models of 2014 and 2015. The build quality has been significantly changed with good quality plastics used in its body.",Access
66,1.Fuel Consumption-As is moped and has small fuel its quite inconvenient to again and again refuel its a little headache but its has amazing mileage 55kmpl.,Access
67,1.My speedo cable sheared off in just 2000kms - it is due to the sharp bend that the cable sees at the exit of the worm gear assembly. This is a design flaw as other modern scooters feature the cable entering from the rear end of the front wheel and make the bends more long-radius like.,Access
68,1.The mileage of this scooty is about 65kmpl on highways and it is about 50kmpl on dense roads.,Access
69,"1.Tyres rims worst design Driving experience was a breeze.This scooty fits well for people of any age group, Suzuki was finally successful in crushing honda activa series",Access
70,"1.Very few centers available. If you find and reached to any one, nobody will assist you.",Access
71,1.low mileage-I average 20000kms every year and cost/km for access was 2.4₹! Where as my dio was so good that it returned 58-60kmpl!! And harly 1.2₹/km and i used to commute to my collrge up a & down 75kms on that on double. So with the high running cost of access i would lose nearly 20-25K just on fuel.,Access
72,1.price. best and better suzuki access 125 it was a very good and ti is the very resoable price you get I give you free advice to you when ever you have to buy the bike that time it hjust a buy in the best occasion and the special price.,Access
73,10.- Water drops get entered in air filter bcause air filter is placed beside the rear tyre and due to splash water get accumulated initialy over the filter casing the later in side the filter and later to the Carburetor. It is very obvious that it will have a very poor resale value.,Access
74,"105 Gopal Bhawan Museum Ke Saamne M.S Road . Pech Morena, Madhya Pradesh, India India",Access
75,"10th Service done today. At the time of last service itself , I have told them that while breaking there is noise. Did not attend.Today also, I have informed the official the same thing. Didn't attend.There is ample scope for improvement in service.The vehicle is not properly air dried after service.",Access
76,12 kms back home in heavy traffic for at least 3/4th distance.,Access
77,125 CC engine is very firm and attains speed in less time which means pick up is great.,Access
78,125cc engine is powerful but main reason behind low average and somehow pickup.,Access
79,"125cc engine makes it capable of early pick up and produces 8.58 bhp, which is sufficient for a fast scooter.",Access
80,135 DTSi and it's owner manual does not even show from where the engine oil has,Access
81,15 months of trouble free service of Access has proved its reliability and durability. A very dependable dynamic scooter indeed.,Access
82,1:- Fuel consuption:- Mileage of Suzuki Access 125 is 45-50 kilometer per litter.,Access
83,1:-THE ENGINE CAPACITY ITS 125CC WHILE COMPARING TO OTHER 125CC SCOOTER PICK-UP OF ACCESS IS AWESOME AND ACCESS IS MAINLY FAMOUS FOR ITS PICK-UP .,Access
84,"1> Child Labour, More than 2 child labour working there. 1 was doing a polish, other was changing oil.",Access
85,"1st Floor, Shakti Enclave, Opp. BSNL Exchange, Kankaria, Maninagar",Access
86,1st day I have starting prbl battery aso week not working properly in short.,Access
87,2) Comfort - the shocks are great and the vehicle is quite stable. I was driving a bike before. So took couple of weeks to get used to the seating posture. Was surprised that this one is even more comfortable than a bike. It is pretty smooth.,Access
88,2) Excellent riding comfort. (No tiredness even after 200km travel).Good clearance against Speedbreakers and Pot holes.,Access
89,2) Headlight makes sure moon is seen. (One pointed beam goes vertically above),Access
90,2) I eliminated Honda Activa 125 because of:- Care a damn attitude by the Sales woman at Silicon Honda.,Access
91,2) Problem during kick start in the morning(But no problem in Self start),Access
92,2) Those who are less height may feel discomfort in driving or pillion seat (for longer distance),Access
93,"2) mileage- not much difference, both companies boast about 50km/l but in real its less than 40.",Access
94,"2, I think my scooter will run for next 7 years without any bypass surgery.",Access
95,"2, We have option of desk break, water bottle holder, bright light. etc.",Access
96,2- Company claim that this scooter gives a mileage 64 kmpl but honestly its give me around 50 to 55 kmpl.,Access
97,2. Even when I touched the speed of 65 kmph the scooter was damn sturdy and the biggest fact I did not know that it had reached those speeds until I gave a look on the speedo meter as the bike was damn smooth. NO SHAKING OR TREMBLING .,Access
98,"2. Headlight is pointing towards the International Space Station: There is a nut under the headlight. Point the scooter towards an open stretch, and adjust to your satisfaction. Remember to be gentle.",Access
99,"2.) Performance and comfort - while talking about the comfort first, the width of the seat has been increased very much and well cushioned and honestly, probaly the most comfortable.Even more comfortable then its biggest rival Activa 125 Also, the body shape remains same without any weight.",Access
100,2.Average - 35-40 Kmpl is you are a rough driver Otherwise 40-50 Kmpl if u drive Between 30-45 Kmpl.,Access
101,2.Comfort-The height is a quite tall and the seat is very uncomfortable it is very hard to sit.,Access
102,"2.Mileage is too low, its 30 for me (i.e. I have placed it to backyard).",Access
103,2.Riding this scooty is quite comfortable and its suspension system is very good.,Access
104,2.unreliable! Brakes used to fade away very often.the clutch had issues.very bad service.,Access
105,2016 suzuki acess 125 gracious looks hamdsame desingThe overall silhouette remains tha same as the olderModel but with the additon of same same new desingElements there s a new retro looking headlight with aFat chrome strip around it the side panels have beenRedesigened too and there s the adition of a 3D logoAs well as a shiny chrome ex haust muffler the changesAre subtle but they work welland will appeal to wideRange of prospective costomers this scooty is vary vary good I like this scooty,Access
106,2:- Comfort:- This is very comfortable bike and is the worst bike ever I had seen. I THink This is good and comfortable for girls.Girls easily ride this bike.i suggest to girls plzz buying this kind of bikes. beacuse this is very good for girlz.,Access
107,2> Worst approach towards solving issue. That is the reason I prefer Castrol bike zone rather than official / authorized service station.,Access
108,2>looks - it is better in looks and some different design. better colors than activa,Access
109,"3 break downs so far. compressor problem, spark switch problem, starting problem.",Access
110,"3 months waiting! This is the killer, but can't help it as Suzuki delivers only about 100 units per month to the city. I am hoping the scenario is the same in other cities as well.",Access
111,"3 years ownership experience, this bike has good amount of power but at the same time the braking isn't as good as it should have been. Mileage is bit on a lower side as it has a 125cc engine , Suzuki could have done better here.It has good back suspension whereas the front shocks aren't quiet good.",Access
112,"3) I eliminated Honda Activa 110 because of:- Its antiquated front suspension and unacceptable quality of certain parts like switches, Levers",Access
113,3) Reliability - Might be little too early to comment. But so far it has been spot on.,Access
114,"3) Service center is 25 KM away. And people managing work station, never want to improve. Even after explaining time management, they don't want to even think about it, for themselves or for customers.",Access
115,"3) Since the HP is more, U turning in narrow roads is risky as the engine try to push the vehicle suddenly with very low engine noise.",Access
116,"3) large storage capacity. (when ever go for shopping , will dump as much in under seat & basket )",Access
117,3)Engine bearing worn out purchased on july 2015 as running is very low.,Access
118,"3, I am traveling every day(two way) around 60 kms. this scooter never disappoint me. because the scooter is having 12 inch front wheel and 10 inch back wheel. so by default you will able to experience closure handle position. it will help you in long rider without back pain. it will good for all type of height people.",Access
119,"3- Having engine problem of oil leak from head of engine, later on leads to damage of engine piston and costly engine work.",Access
120,3- This scooter is 102 kg in weight. Its lighter than other scooter in market.,Access
121,3- because of its good weight it gives high power engine of 125cc,Access
122,"3. Poor Mileage: 1 Minute warm up(idling) from cold start. If you are not pressing the brakes while driving, then do talk to the service station to get your engine tuned. It's pretty simple to fix.",Access
123,3.Body - mainly madup of fibre matirial ao breaks When u have a accident So I suggest you to install a proper accesesories,Access
124,3.Poor quality spare parts used and still very expensive (even more than Honda).,Access
125,3.Reliability-It is very reliable it works great in all conditions it has nice pickup it runs fast engine makes lot noise.,Access
126,3.bad suspension - the TVS scooties and the Wego are way way better.,Access
127,3.central locking - one can open the boot from the ignition switch assembly,Access
128,3.tyer. this suzuki tyer are very good and very well done made and you can see the suzuki access 125 tyer design it was a very good and it was  a ell done made it if you are to be a buy the bike that time you can see the lifetime of the tyer and any kind of the product it was a very good,Access
129,3:- Reliability:- This is very good bike ever. ANd Good For reliability.,Access
130,"3:-AVERAGE= ACCESS:-54KL/LIT,WHILE ON COMPARING WITH ACTIVA=40-48KM/LIT",Access
131,"3> Customers are treated a beggars, as if  they are doing UPKAR.",Access
132,3rd comes control talking about control is not that bad good handling. If I have to rate this bike in good/ very good or bad I wall rate it as good but the most important aspect is service and spear-parts that are not available in the market easily. We need to order it and the delivery time is 1 week,Access
133,"4 - no free moment even it steep, poor torque, poor service from suzuki. they do not bother about to put back I m potent pairs like screw, nuts boltes etc, with this you can understand for what good reason we should go to other brand except suzuki. 24 km the engine has started giving problem inquired with several access cut the worst service and engine problem after 18 km.",Access
134,4 more power as compare to other 125cc.all over its like angel on road.pls must buy.,Access
135,4) Even though the company said  120 km speed is achievable I can't able to reach above 70 Km speed.,Access
136,4) Handling - I was skecptical initially and had my own questions on switching over from a bike to a scooter. I have no complaints though. The handling has been great and the comfort level is amazing.,Access
137,4) Needs service every 2 months. Atleast thats what suzuki says. Otherwise warranty is void.,Access
138,4)Poor service centre performance as comment is service is done on sunday & due to rush checking is not proper.,Access
139,"4)pickup- definitely access, 0-60 in just 6-7 seconds, activa takes bit more time",Access
140,"4, The engine is super smooth and noise less. the power of 125 make you more comfortable.",Access
141,4- This scooter also available in disk brake. That give you better grip on road.,Access
142,"4- it has a Engine vibration issue , which can not be rectified.",Access
143,4.Dealership center guys are liar - They will tell you the service charges are 200 and overall service cost will not go more than 350-400 but actuality is service charges are 350+Tax.,Access
144,4.Handling-It is quite disappointing but the brakes are not much good the bike skids instead of immediate stopping.,Access
145,4.Teflon coating free service coupon(only if u opted for teflon coating as accessories),Access
146,4.This scooty has 125cc engine which is very good and acceleration of this scooty is superb.,Access
147,4.decent mileage - get approx 40kmpl in rotten Chennai traffic.,Access
148,4:- Handling and Control:- Very Very Easy To handling and Control. This is veri Beautiful bike.,Access
149,4>Power - access wins by 25Cc over activa. and you can feel it when you ride it.,Access
150,5) Easy to ride in hills.Also getting the same mileage (40Km/lt) in hills also.,Access
151,"5) Even though suzuki has recommended clearly oil changes in alternate services, service center's want to change oil and air filter and charge for consumables to make that extra buck.",Access
152,5) Looks - Wel. To me my red access looks really attractive with clean professional finish that meets international standards.,Access
153,5) There is no way you can reach the company and its engineers.,Access
154,"5) boot space - not very much difference, my helmet fits in both but I found that leg space is more in access.",Access
155,"5, I am able to get around 50 to 52 kmpl. that is decent in city. please keep in mind even the 100 and 110 cc scooters offering the same.",Access
156,5- initial acceleration gets down after some time which is again costly to repair as whole drive disc and shoes is to be changed.,Access
